Birthday,Nat,Height,Weight,DraftYear,OverallDraft,Hand,Position,Team,GamesPlayed,Goals,Assists,Points,PIM,Shifts,TimeOnIce,FullName,Salary
92-12-11,SWE,75,216,2011,4,R,D,EDM,79,4,15,19,55,2055,95509,Adam Larsson,3000000
90-29-11,CZE,79,220,2000,59.5,R,D,T.B,80,3,11,14,43,1813,84427,Andrej Sustr,1600000
89-21-11,FRA,72,201,2000,59.5,L,LW,DAL,60,12,15,27,115,1427,55866,Antoine Roussel,2200000
90-21-11,SWE,71,185,2009,53,L,RW,VAN,3,0,1,1,0,40,1604,Anton Rodin,950000
86-01-08,SWE,71,190,2005,216,R,D,T.B,73,5,17,22,20,1963,100304,Anton Stralman,4500000
96-26-11,USA,77,203,2015,37,R,D,BOS,82,6,10,16,59,2080,102414,Brandon Carlo,717500
90-16-07,USA,75,221,2000,59.5,L,D,DET,5,0,0,0,0,93,3754,Brian Lashoff,650000
96-25-05,CZE,72,181,2014,25,R,RW/LW,BOS,75,34,36,70,34,1597,80921,David Pastrnak,925000
90-20-06,USA,75,221,2008,128,R,D,DAL/MTL,36,1,8,9,10,720,33312,Greg Pateryn,750000
94-01-05,USA,74,205,2012,120,L,D,CAR,82,5,29,34,12,2135,115316,Jaccob Slavin,742500
92-20-03,USA,72,215,2010,37,R,D,CAR,75,17,20,37,32,1987,104133,Justin Faulk,5500000
88-16-04,USA,72,218,2006,7,R,RW,BUF,65,19,26,45,24,1443,73983,Kyle Okposo,8000000
94-23-03,SWE,75,209,2012,81,R,C,PIT,10,0,0,0,2,138,5504,Oskar Sundqvist,792500
86-09-08,USA,71,197,2000,59.5,R,C,MIN,3,0,0,0,0,35,1419,Patrick Cannone,600000
90-05-06,CZE,72,205,2010,66,R,D,PHI,67,6,17,23,93,1739,77555,Radko Gudas,4000000
90-01-06,CHE,73,201,2008,38,L,D,NSH,72,12,37,49,18,2076,108323,Roman Josi,4250000
86-28-04,CZE,74,236,2004,180,R,D,TOR,75,4,7,11,65,1817,80643,Roman Polak,2250000
90-08-10,USA,76,210,2009,114,L,D,N.J,9,1,0,1,15,177,7273,Seth Helgeson,600000
90-16-11,USA,74,219,2000,59.5,L,C,BOS,59,7,7,14,23,1035,43436,Tim Schaller,600000
