Birthday,Nat,Height_cm,Weight_kg,DraftYear,OverallDraft,Hand,Last Name,First Name,Position,Team,GamesPlayed,Goals,Assists,Points,PIM,Shifts,TimeOnIce
90-11-21,SWE,180,84,2009,53,L,Rodin,Anton,RW,VAN,3,0,1,1,0,40,1604
86-04-28,CZE,188,107,2004,180,R,Polak,Roman,D,TOR,75,4,7,11,65,1817,80643
90-11-29,CZE,201,100,,,R,Sustr,Andrej,D,T.B,80,3,11,14,43,1813,84427
96-05-25,CZE,183,82,2014,25,R,Pastrnak,David,RW/LW,BOS,75,34,36,70,34,1597,80921
94/03/23,SWE,190,95,2012,81,R,Sundqvist,Oskar,C,PIT,10,0,0,0,2,138,5504
90-06-05,CZE,183,93,2010,66,R,Gudas,Radko,D,PHI,67,6,17,23,93,1739,77555
90-06-01,CHE,185,91,2008,38,L,Josi,Roman,D,NSH,72,12,37,49,18,2076,108323
86-08-01,SWE,180,86,2005,216,R,Stralman,Anton,D,T.B,73,5,17,22,20,1963,100304
92-11-12,SWE,190,98,2011,4,R,Larsson,Adam,D,EDM,79,4,15,19,55,2055,95509
89-11-21,FRA,183,91,,,L,Roussel,Antoine,LW,DAL,60,12,15,27,115,1427,55866
