Birthday,Nat,Height,Weight,DraftYear,OverallDraft,Hand,Last Name,First Name,Position,Team,GamesPlayed,Goals,Assists,Points,PIM,Shifts,TimeOnIce
88-16-04,USA,72,218,2006,7,R,Okposo,Kyle,RW,BUF,65,19,26,45,24,1443,73983
90-08-10,USA,76,210,2009,114,L,Helgeson,Seth,D,N.J,9,1,0,1,15,177,7273
96-26-11,USA,77,203,2015,37,R,Carlo,Brandon,D,BOS,82,6,10,16,59,2080,102414
90-16-11,USA,74,219,,,L,Schaller,Tim,C,BOS,59,7,7,14,23,1035,43436
92-20-03,USA,72,215,2010,37,R,Faulk,Justin,D,CAR,75,17,20,37,32,1987,104133
94-01-05,USA,74,205,2012,120,L,Slavin,Jaccob,D,CAR,82,5,29,34,12,2135,115316
90-20-06,USA,75,221,2008,128,R,Pateryn,Greg,D,DAL/MTL,36,1,8,9,10,720,33312
90-27-05,USA,74,196,2009,198,R,Dowd,Nic,C,L.A,70,6,16,22,25,1230,52314
90-16-07,USA,75,221,,,L,Lashoff,Brian,D,DET,5,0,0,0,0,93,3754
86-09-08,USA,71,197,,,R,Cannone,Patrick,C,MIN,3,0,0,0,0,35,1419
